大類代碼,大類,細類代碼,細類
R,藝術、娛樂及休閒服務業,9102,植物園、動物園及自然生態保護機構
R,藝術、娛樂及休閒服務業,9103,博物館、歷史遺址及其他類似機構
R,藝術、娛樂及休閒服務業,9200,博弈業
R,藝術、娛樂及休閒服務業,9311,職業運動業
R,藝術、娛樂及休閒服務業,9312,運動場館
R,藝術、娛樂及休閒服務業,9319,其他運動服務業
R,藝術、娛樂及休閒服務業,9321,遊樂園及主題樂園
R,藝術、娛樂及休閒服務業,9322,視聽及視唱業
R,藝術、娛樂及休閒服務業,9323,特殊娛樂業
R,藝術、娛樂及休閒服務業,9324,遊戲場
R,藝術、娛樂及休閒服務業,9329,其他娛樂及休閒服務業
S,其他服務業,9410,宗教組織
S,其他服務業,9421,工商業團體
S,其他服務業,9422,專門職業團體
S,其他服務業,9423,勞工團體
S,其他服務業,9424,農民團體
S,其他服務業,9491,政黨
S,其他服務業,9499,未分類其他組織
S,其他服務業,9511,汽車維修業
S,其他服務業,9512,汽車美容業
S,其他服務業,9521,電腦及其週邊設備維修業
S,其他服務業,9522,通訊傳播設備維修業
S,其他服務業,9523,視聽電子產品及家用電器維修業
S,其他服務業,9591,機車維修業
S,其他服務業,9599,未分類其他個人及家庭用品維修業
S,其他服務業,9610,洗衣業
S,其他服務業,9621,美髮業
S,其他服務業,9622,美容美體業
S,其他服務業,9630,殯葬及寵物生命紀念相關服務業
S,其他服務業,9640,家事服務業
S,其他服務業,9690,其他個人服務業
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
